,MLSFCDC,VIAT_NM,x,y,gu,dong
5569,숙박시설,신라여관,127.01883011963348,37.56638023560883,중구,황학동
5570,보건시설,예진한의원,127.01861667210197,37.56545351497008,중구,신당5동
5571,서비스산업,우리은행(신당역지점),127.01754022287216,37.56576000582989,중구,신당동
5572,숙박시설,투스타모텔,127.01591256393814,37.56594287014738,중구,신당동
5573,숙박시설,플러스모텔,127.0159143442157,37.566134213332106,중구,신당동
5574,문화/예술시설,코쿤하우스2.0이수아트홀,127.00463810568964,37.577907034678844,종로구,이화동
5575,문화/예술시설,돈화빌딩삼형제극장,127.00466491764836,37.57850239697805,종로구,이화동
5576,정치/사회/외교,이화빌딩방송대학출판문화원,127.00474074603356,37.57760009534772,종로구,이화동
5577,문화/예술시설,동숭교회엘림홀,127.0047028253957,37.5795766119911,종로구,이화동
5578,문화/예술시설,쇳대박물관,127.00465685213696,37.57981421576208,종로구,이화동
5579,문화/예술시설,쉐르빌리빙텔마당세실극장,127.00465990847096,37.578685393448055,종로구,이화동
5580,문화/예술시설,JTN아트홀,127.00394433809788,37.576672090595316,종로구,이화동
5581,지방행정기관,이화동주민센터,127.00435633955975,37.576985335527915,종로구,이화동
5582,보건시설,동익한의원,127.0080244509988,37.571341391947854,종로구,종로5.6가동
5583,숙박시설,장안여관,127.0080681011955,37.57154348212315,종로구,종로5.6가동
5584,숙박시설,엠지호텔,126.98479297905102,37.568938033431714,종로구,종로1.2.3.4가동
5585,숙박시설,메트로호텔,126.98373543293914,37.56514883257327,중구,명동
5586,숙박시설,코리아나호텔,126.97661837966065,37.56821185809772,중구,명동
5587,숙박시설,은진대중사우나모텔,127.02220304077916,37.57704320685049,종로구,숭인2동
5588,보건시설,맑은하늘한의원,126.98740541756638,37.561696914596745,중구,명동
5589,서비스산업,신한은행(명동역지점),126.98574078447258,37.56146604395913,중구,명동
5590,숙박시설,드라마모텔,127.01831408329203,37.565404477695296,중구,신당5동
5591,서비스산업,KDB산업은행(동대문지점),127.01550378850231,37.568841734473565,중구,신당동
5592,서비스산업,새마을금고,127.00382667501755,37.57628861860813,종로구,이화동
5593,숙박시설,스위스모텔,127.00407334334099,37.57555188676535,종로구,종로5.6가동
5594,보건시설,한보한의원,127.00843912180402,37.57165665030663,종로구,종로5.6가동
5595,문화/예술시설,연진아트홀,127.00529547168082,37.580334791068005,종로구,이화동
5596,서비스산업,금은보석도매상가,126.99369509819857,37.57099479515796,종로구,종로1.2.3.4가동
5597,서비스산업,골드뱅크귀금속도매상가,126.99330620965581,37.57095841883261,종로구,종로1.2.3.4가동
5598,서비스산업,광은귀금속도매상가,126.99300387697616,37.57093191532176,종로구,종로1.2.3.4가동
5599,숙박시설,헬로인호텔,126.9896332064303,37.57181418412032,종로구,종로1.2.3.4가동
5600,숙박시설,꾸띠호텔,126.98958940325983,37.57196091477323,종로구,종로1.2.3.4가동
5601,숙박시설,쎄느장여관,126.9898260877517,37.57282290677573,종로구,종로1.2.3.4가동
5602,숙박시설,뉴국제호텔,126.97808567832216,37.56796682758985,중구,명동
5603,보건시설,프리미어플레이스에이원약국,126.97824038640385,37.56882902225609,중구,명동
5604,숙박시설,프레지던트호텔,126.97943699579241,37.565628987994764,중구,명동
5605,서비스산업,금세기빌딩부산은행서울영업부,126.97948889362384,37.5664811905452,중구,명동
5606,보건시설,영일빌딩홍신약국,126.97969309922956,37.56701579676957,중구,명동
5607,서비스산업,KEB하나은행(영업1부),126.98189617732473,37.56645271980569,중구,명동
5608,서비스산업,KEB하나은행(영업1부출장소),126.98115041642647,37.56714417903506,중구,명동
5609,보건시설,나전빌딩서울미대치과,126.9817579380135,37.56685870100981,중구,명동
5610,보건시설,신라약국,126.98155624655872,37.56683427228125,중구,명동
5611,서비스산업,DB다동빌딩DB저축은행,126.98229563192895,37.567341263289386,중구,명동
5612,숙박시설,에이퍼스트호텔,126.98093644449514,37.567644931499096,중구,명동
5613,서비스산업,동아빌딩수협은행(동부영업본부),126.98232315581018,37.56778643323793,중구,명동
5614,보건시설,한경승한의원,127.00468840879718,37.59033002165734,성북구,성북동
5615,서비스산업,우리은행보문동지점,127.02071431960714,37.58233956031294,성북구,보문동
5616,숙박시설,스토리호텔,127.02097472352156,37.582006512973784,성북구,보문동
5617,숙박시설,브라운호텔,127.02132307600345,37.582284049403476,성북구,보문동
